Row number,Date,Hr,Mainland Air Temp,Humidity (%),Direction (A),Wind Speed (A),Gusting,Atmospheric Pressure (IN),Precipitation Rate,Bay Temp,Salinity,LBI Air Temp,Ocean Temp,Onshore,upwelling_flag
195,6/9/2025,1,16.2,96.0,3,3.4,9.5,29.81,0.0,18.83,29.57,17.0,16.4,1,0
196,6/9/2025,2,16.2,96.0,3,4.2,7.5,29.8,0.0,17.98,30.02,17.0,16.4,1,0
197,6/9/2025,3,16.2,96.0,3,5.3,10.5,29.79,0.0,18.53,29.54,17.0,16.4,1,0
198,6/9/2025,4,16.2,96.0,3,4.6,8.3,29.79,0.0,18.78,29.22,17.1,16.4,1,0
199,6/9/2025,5,16.3,96.0,2,3.1,7.3,29.78,0.0,18.7,29.2,17.1,16.4,1,0
200,6/9/2025,6,16.3,97.0,2,5.7,9.2,29.0,0.0,17.96,29.72,17.0,16.3,1,0
201,6/9/2025,7,16.2,97.0,3,5.2,9.2,29.8,0.0,17.74,29.93,17.1,16.3,1,0
202,6/9/2025,8,16.4,97.0,3,6.7,1.5,29.79,0.0,17.76,30.06,17.1,16.3,1,0
203,6/9/2025,9,16.8,97.0,3,4.3,9.3,29.83,0.0,17.66,30.24,17.3,16.3,1,0
204,6/9/2025,10,17.1,97.0,1,2.6,6.6,29.83,0.01,18.33,29.53,17.6,16.3,1,0
205,6/9/2025,11,17.4,97.0,2,4.9,9.8,29.88,0.0,19.11,28.78,17.7,16.3,1,0
206,6/9/2025,12,17.6,97.0,2,3.6,7.8,29.85,0.0,19.04,28.88,17.6,16.3,1,0
207,6/9/2025,13,17.7,96.0,2,4.5,7.7,29.84,0.0,19.12,28.75,17.3,16.3,1,0
208,6/9/2025,14,17.8,96.0,2,4.7,9.2,29.83,0.0,19.29,28.65,17.4,16.3,1,0
209,6/9/2025,15,18.2,94.0,2,4.8,9.1,29.84,0.0,19.29,28.72,17.4,16.3,1,0
210,6/9/2025,16,18.8,91.0,15,3.9,7.3,29.84,0.0,19.24,28.84,17.6,16.3,0,0
211,6/9/2025,17,19.7,88.0,2,5.1,9.2,29.82,0.0,19.18,28.9,17.8,16.4,1,0
212,6/9/2025,18,19.3,87.0,2,4.3,10.0,29.8,0.0,19.09,28.98,17.7,16.4,1,0
213,6/9/2025,19,17.7,89.0,2,4.1,7.4,29.82,0.0,19.0,28.15,17.3,16.5,1,0
214,6/9/2025,20,28.2,92.0,2,1.2,2.5,29.84,0.0,17.86,28.18,17.3,16.6,1,0
215,6/9/2025,21,16.8,93.0,1,2.4,5.0,29.85,0.0,17.43,27.56,17.4,16.7,1,0
216,6/9/2025,22,16.7,94.0,2,3.4,7.2,29.84,0.0,17.29,27.81,17.7,16.7,1,0
217,6/9/2025,23,16.8,94.0,2,2.6,4.9,29.83,0.0,17.5,28.12,17.1,16.7,1,0
218,6/10/2025,0,16.7,95.0,3,1.4,3.3,29.85,0.0,17.86,28.57,17.4,16.7,1,0
219,6/10/2025,1,16.7,95.0,3,1.8,3.0,29.85,0.0,18.19,28.3,17.3,16.6,1,0
220,6/10/2025,2,16.8,95.0,2,2.2,4.5,29.82,0.0,18.13,28.23,17.3,16.6,1,0
221,6/10/2025,3,16.7,95.0,3,2.4,5.8,29.81,0.0,17.93,28.05,17.1,16.6,1,0
222,6/10/2025,4,16.7,95.0,3,3.4,8.1,29.79,0.0,17.99,28.34,17.1,16.6,1,0
223,6/10/2025,5,16.7,96.0,3,1.9,4.4,29.8,0.0,18.37,28.38,17.2,16.6,1,0
224,6/10/2025,6,16.8,96.0,3,2.9,5.8,29.79,0.0,18.56,28.46,17.3,16.7,1,0
225,6/10/2025,7,17.2,96.0,3,2.7,4.7,29.79,0.0,17.94,28.35,17.6,16.6,1,0
226,6/10/2025,8,17.6,96.0,3,2.1,4.7,29.81,0.0,18.02,28.39,17.8,16.6,1,0
227,6/10/2025,9,17.9,97.0,3,2.4,5.3,29.8,0.0,18.11,28.39,17.9,16.6,1,0
228,6/10/2025,10,18.4,97.0,1,2.9,4.9,29.78,0.0,18.29,28.34,18.4,16.6,1,0
229,6/10/2025,11,18.7,97.0,3,1.4,3.4,29.79,0.0,18.78,28.2,18.3,16.6,1,0
230,6/10/2025,12,19.2,97.0,14,3.2,6.1,29.82,0.0,19.36,27.72,18.7,16.6,0,0
231,6/10/2025,13,19.3,97.0,2,1.9,3.7,29.82,0.0,19.22,27.84,19.3,16.6,1,0
232,6/10/2025,14,21.6,95.0,14,2.7,5.0,29.82,0.0,19.7,27.34,19.8,16.6,0,0
233,6/10/2025,15,23.5,86.0,11,5.8,10.8,29.83,0.0,19.83,27.37,20.1,16.7,0,0
